HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
1442,114.025783,22.64965565,114.0143073,22.64591725,0,0,0,0,0,5,0
3470,114.0123941,22.55631542,114.0060361,22.64477552,0,0,0,0,0,5,0
628,114.0504754,22.52944558,114.0471928,22.53013391,0,0,0,0,0,3,0
3580,114.1357676,22.61672765,114.1351301,22.58489774,0,0,0,0,0,2,0
3539,114.2307736,22.72322821,114.219348,22.69336585,0,0,0,0,0,3,0
3410,113.8652014,22.5862659,113.8678879,22.5713629,0,0,0,0,0,3,0
3339,113.8845256,22.55733132,113.8746316,22.55197004,0,0,0,0,0,1,0
3474,113.8865032,22.57412312,113.8865032,22.57412312,0,0,0,0,0,4,0
3293,114.0021078,22.55103737,113.9767135,22.5617285,0,0,0,0,0,4,0
3368,113.8236042,22.71840044,113.8289193,22.71956443,0,0,0,0,0,4,0
